epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.981,0.24445,0.18295,35.4173,0.23939,0,0.00476,0.5,0.01605,0.00753,0.00476,0.5,0.01605,0.00753,2.42998,2.77374,3.63401,1.96425,0,0.000554628,0.000554628,0.000554628
2,72.3985,0.29852,0.09456,9.16968,0.26215,0,0,0,0,0,0,0,0,0,3.69078,0.90913,4.80965,2.97015,0,0.00108831,0.00108831,0.00108831
3,107.742,0.38142,0.17534,1.40018,0.36727,0,0,0,0,0,0,0,0,0,3.30524,0.96666,5.2381,2.6331,0,0.00159999,0.00159999,0.00159999
4,143.285,0.52017,0.15873,0.93004,0.46523,0,0,0,0,0,0,0,0,0,3.29591,2550.57,5.85654,8.4568,0,0.00156798,0.00156798,0.00156798
5,177.802,0.30184,0.43825,0.60994,0.30337,0,0,0,0,0,0,0,0,0,2.81111,1.29833,6.88091,2.32567,0,0.00153497,0.00153497,0.00153497
6,212.539,0.43452,0.13455,0.83967,0.37238,0,0,0,0,0,0,0,0,0,4.25542,1.24287,5.85936,7.65841,0,0.00150197,0.00150197,0.00150197
7,247.097,0.3809,0.11858,0.77654,0.33678,0,0,0,0,0,0,0,0,0,3.83237,1.36405,6.72466,4.89748,0,0.00146896,0.00146896,0.00146896
8,281.78,0.34042,0.11198,0.71211,0.31853,0,0,0,0,0,0,0,0,0,3.21885,2.62333,6.92656,2.8084,0,0.00143595,0.00143595,0.00143595
9,317.14,0.44154,0.09477,0.83856,0.39715,0,0,0,0,0,0,0,0,0,3.16817,1.40107,6.31944,2.47587,0,0.00140295,0.00140295,0.00140295
10,352.082,0.45409,0.10194,0.81523,0.36954,0,0,0,0,0,0,0,0,0,2.93384,1.0476,6.38407,2.30934,0,0.00136994,0.00136994,0.00136994
11,386.945,0.38995,0.09002,0.73578,0.32521,0,0,0,0,0,0,0,0,0,3.25594,1.09775,6.65911,2.55695,0,0.00133693,0.00133693,0.00133693
12,422.062,0.35841,0.08052,0.62359,0.29571,0,0,0,0,0,0,0,0,0,3.29422,0.87437,5.61034,2.16144,0,0.00130393,0.00130393,0.00130393
13,457.169,0.27718,0.04025,0.58311,0.25186,0,0,0,0,0,0,0,0,0,3.0181,0.90001,5.4331,2.38195,0,0.00127092,0.00127092,0.00127092
14,491.876,0.30123,0.05784,0.56496,0.26474,0,0,0,0,0,0,0,0,0,3.47978,0.90196,4.98191,3.05158,0,0.00123791,0.00123791,0.00123791
15,526.722,0.25783,0.05675,0.4664,0.23217,0,0,0,0,0,0,0,0,0,3.13857,0.63909,4.78232,3.45531,0,0.00120491,0.00120491,0.00120491
16,563.577,0.33976,0.07811,0.59486,0.30337,0,0,0,0,0,0,0,0,0,2.62771,0.66309,4.11009,2.01182,0,0.0011719,0.0011719,0.0011719
17,599.026,0.37594,0.07383,0.60393,0.33458,0,0,0,0,0,0,0,0,0,2.25028,0.51565,3.87159,2.53464,0,0.00113889,0.00113889,0.00113889
18,634.397,0.23747,0.04535,0.45996,0.22416,0,0.03571,0.5,0.03827,0.01531,0.03571,0.5,0.03827,0.01531,2.25355,1.25834,4.24661,2.35179,0,0.00110589,0.00110589,0.00110589
19,669.524,0.27505,0.05546,0.53211,0.26299,0,0,0,0,0,0,0,0,0,2.31912,0.48398,4.50848,2.5477,0,0.00107288,0.00107288,0.00107288
20,704.937,0.35993,0.08975,0.60064,0.32424,0,0,0,0,0,0,0,0,0,2.69979,0.62012,4.07068,2.5693,0,0.00103987,0.00103987,0.00103987
21,739.922,0.31342,0.07339,0.53169,0.28177,0,0,0,0,0,0,0,0,0,3.05164,1.33469,5.43578,3.20322,0,0.00100687,0.00100687,0.00100687
22,774.732,0.30134,0.06148,0.51248,0.29121,0,0.0266,1,0.28861,0.1098,0.0266,1,0.28861,0.108,2.81394,0.35111,3.01593,2.67176,0,0.000973861,0.000973861,0.000973861
23,809.785,0.29269,0.06795,0.43262,0.26729,0,0,0,0,0,0,0,0,0,2.80517,0.42426,3.83698,2.66487,0,0.000940855,0.000940855,0.000940855
24,844.505,0.33311,0.05336,0.53423,0.29842,0,0.04,0.5,0.05467,0.00659,0.04,0.5,0.05293,0.00529,2.52339,0.85295,3.3093,2.48729,0,0.000907848,0.000907848,0.000907848
25,879.658,0.33534,0.04523,0.46885,0.30591,0,0.02564,0.5,0.16583,0.03887,0.02564,0.5,0.16583,0.04192,2.53502,0.43184,3.09854,2.36461,0,0.000874842,0.000874842,0.000874842
26,914.752,0.28923,0.03976,0.42595,0.25719,0,0.01515,0.5,0.05177,0.01849,0.01515,0.5,0.05177,0.01837,2.61391,0.47288,3.6226,2.46958,0,0.000841835,0.000841835,0.000841835
27,952.418,0.29433,0.06007,0.47202,0.25655,0,0,0,0,0,0,0,0,0,3.49181,0.87171,5.85554,2.77178,0,0.000808828,0.000808828,0.000808828
28,1175.8,0.29243,0.04253,0.42276,0.27555,0,0.03328,0.25,0.13988,0.056,0.03328,0.25,0.13988,0.04495,2.753,1.28494,3.48869,3.76715,0,0.000775822,0.000775822,0.000775822
29,1210.33,0.31622,0.05286,0.42682,0.27181,0,0.03022,0.5,0.03015,0.01541,0.03022,0.5,0.03015,0.01709,2.5819,0.27266,3.39716,2.47585,0,0.000742815,0.000742815,0.000742815
30,1244.81,0.30011,0.05024,0.33948,0.26218,0,0.62308,0.25,0.09765,0.02712,0.62308,0.25,0.09765,0.02755,2.8227,0.4421,3.19413,2.83954,0,0.000709809,0.000709809,0.000709809
