epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80823,0.77553,1.95204,3.42036,1.08579,0,0.00992,1,0.03681,0.02707,0.00992,1,0.03681,0.02578,0.42192,0.62267,2.89897,0.92463,0,0.000463056,0.000463056,0.000463056
2,6.0449,0.81027,1.98559,3.63317,1.07789,0,0.00998,1,0.04575,0.03191,0.00998,1,0.04575,0.03055,0.46618,0.61928,2.90877,0.88894,0,0.00100864,0.00100864,0.00100864
3,7.15713,0.75928,1.94166,3.64186,1.07379,0,0.00998,1,0.04965,0.02837,0.00998,1,0.04965,0.02859,0.51365,0.62257,2.91157,0.88385,0,0.00154322,0.00154322,0.00154322
4,8.44105,0.86511,2.01488,3.40988,1.10682,0,0.01018,1,0.19054,0.07297,0,0,0,0,2.56034,48.8843,3.93419,2.19807,0,0.00161749,0.00161749,0.00161749
5,9.76533,1.44161,3.45047,3.59838,1.4175,0,0.00658,0.5,0.02853,0.01152,0.00329,0.25,0.00691,0.00069,3.01232,34.1804,4.03389,3.78454,0,0.00160099,0.00160099,0.00160099
6,11.0238,2.16005,4.84962,3.92329,1.92989,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00158448,0.00158448,0.00158448
7,12.2743,2.032,0.91927,3.96367,1.96996,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00156798,0.00156798,0.00156798
8,13.534,1.66528,0.4986,3.13932,1.70033,0,0.0061,0.25,0.00421,0.00125,0,0,0,0,3.9811,27257.6,1424.75,778.047,0,0.00155148,0.00155148,0.00155148
9,14.8509,1.4494,0.51905,3.40912,1.55934,0,0.00562,0.25,0.00349,0.00035,0.01124,0.5,0.01452,0.00145,4.07183,291.361,2392.57,315.227,0,0.00153497,0.00153497,0.00153497
10,16.2629,1.34883,0.36091,3.02012,1.47288,0,0,0,0,0,0,0,0,0,4.27639,1226.8,407.389,169.839,0,0.00151847,0.00151847,0.00151847
11,17.5151,1.03372,0.34654,2.77555,1.22189,0,0,0,0,0,0,0,0,0,4.84239,649.956,296.582,176.402,0,0.00150197,0.00150197,0.00150197
12,18.789,1.01757,0.65666,2.34433,1.22924,0,0.66312,0.5,0.63212,0.24312,0.66312,0.5,0.63212,0.2287,2.95198,0.56015,5.78711,4.67206,0,0.00148546,0.00148546,0.00148546
13,20.0359,0.97744,0.38493,1.93216,1.22228,0,0.31459,0.75,0.4725,0.20914,0.31459,0.75,0.4725,0.21328,1.95616,0.26305,6.3026,2.75514,0,0.00146896,0.00146896,0.00146896
14,21.3074,0.94516,0.6264,2.6889,1.21628,0,0.31815,1,0.6965,0.25062,0.31815,1,0.6965,0.23662,1.49688,0.19152,5.42656,1.6994,0,0.00145246,0.00145246,0.00145246
15,22.6061,0.94631,0.587,1.98026,1.19934,0,0.24154,0.5,0.56227,0.14253,0.24154,0.5,0.56227,0.17713,2.44523,0.34273,4.03384,2.39693,0,0.00143595,0.00143595,0.00143595
16,23.8728,0.91577,0.378,1.98973,1.22338,0,0.9952,0.5,0.57721,0.26375,0.9952,0.5,0.57721,0.3135,2.91165,0.36046,2.80088,4.27517,0,0.00141945,0.00141945,0.00141945
