epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.892,0.18795,0.07538,49.9994,0.2492,0,0.56243,1,0.995,0.82075,0.56243,1,0.995,0.796,0.68706,0.19304,4.12499,1.18253,0,0.000553593,0.000553593,0.000553593
2,71.4959,0.33768,0.1619,11.8111,0.35328,0,0,0,0,0,0,0,0,0,3.09043,0.68197,15.9142,3.22756,0,0.0010873,0.0010873,0.0010873
3,105.132,0.53057,0.52686,4.36845,0.5166,0,0,0,0,0,0,0,0,0,3.68733,1.17949,14.2577,4.61826,0,0.001599,0.001599,0.001599
4,138.622,0.82149,0.22124,4.75267,0.7427,0,0,0,0,0,0,0,0,0,2.90246,5.3256,16.558,6.98162,0,0.00156798,0.00156798,0.00156798
5,171.346,0.67149,0.11032,3.75437,0.61997,0,0,0,0,0,0,0,0,0,3.08025,1.33495,18.0033,3.15945,0,0.00153497,0.00153497,0.00153497
6,204.607,0.77785,0.17139,4.4854,0.64687,0,0,0,0,0,0,0,0,0,4.00451,0.86013,20.355,3.35935,0,0.00150197,0.00150197,0.00150197
7,237.645,0.75611,0.30416,4.43464,0.61496,0,0,0,0,0,0,0,0,0,2.95466,1.15451,20.7388,2.41043,0,0.00146896,0.00146896,0.00146896
8,270.87,0.68515,0.15258,4.40042,0.58154,0,0,0,0,0,0,0,0,0,2.92932,1.17006,18.974,2.38772,0,0.00143595,0.00143595,0.00143595
9,304.143,0.75978,0.20179,4.71854,0.63773,0,0,0,0,0,0,0,0,0,2.99525,1.15142,22.54,2.23141,0,0.00140295,0.00140295,0.00140295
10,336.833,0.66884,0.14328,4.50767,0.55218,0,0,0,0,0,0,0,0,0,3.65444,1.42407,19.7347,3.00561,0,0.00136994,0.00136994,0.00136994
11,368.963,0.53477,0.18157,3.31615,0.4761,0,0,0,0,0,0,0,0,0,3.01589,1.14944,23.3093,2.48382,0,0.00133693,0.00133693,0.00133693
12,401.919,0.69495,0.28131,4.50353,0.65627,0,0,0,0,0,0,0,0,0,2.7288,0.99698,22.5164,2.19045,0,0.00130393,0.00130393,0.00130393
13,435.014,0.70022,0.18438,3.90431,0.60241,0,0,0,0,0,0,0,0,0,2.98888,0.94086,17.1804,2.44895,0,0.00127092,0.00127092,0.00127092
14,467.978,0.62094,0.18853,3.16457,0.56674,0,0,0,0,0,0,0,0,0,2.36146,1.19509,15.7172,2.56558,0,0.00123791,0.00123791,0.00123791
15,501.176,0.69385,0.2627,3.48473,0.64549,0,0,0,0,0,0,0,0,0,2.50194,1.10905,18.5536,2.75398,0,0.00120491,0.00120491,0.00120491
16,534.451,0.65986,0.13509,3.23335,0.64111,0,0,0,0,0,0,0,0,0,2.96669,1.34292,18.5057,2.22738,0,0.0011719,0.0011719,0.0011719
17,568.097,0.67074,0.13952,3.19693,0.61469,0,0.01667,0.5,0.08115,0.02105,0.01667,0.5,0.08115,0.01832,2.93119,1.05161,8.71159,2.59566,0,0.00113889,0.00113889,0.00113889
18,600.68,0.48232,0.10523,2.89132,0.40457,0,0.025,0.5,0.08292,0.04975,0.025,0.5,0.08292,0.04146,2.20447,1.01253,13.0596,2.10979,0,0.00110589,0.00110589,0.00110589
19,634.785,0.504,0.09842,2.73796,0.45455,0,0.07143,0.75,0.29825,0.1193,0.07143,0.75,0.29825,0.09443,2.40229,0.8291,10.4621,2.76067,0,0.00107288,0.00107288,0.00107288
20,667.941,0.66063,0.13098,3.224,0.58851,0,0.01282,0.5,0.07107,0.01421,0.01282,0.5,0.07107,0.00877,3.17212,1.63226,16.4292,2.39715,0,0.00103987,0.00103987,0.00103987
