epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.64181,0.72194,2.0298,3.116,1.02077,0,0.00998,1,0.66292,0.59662,0.00998,1,0.66292,0.57175,0.55679,0.32943,2.7591,0.95026,0,0.000509361,0.000509361,0.000509361
2,13.0339,0.53636,0.63341,2.54205,0.85398,0,0.00996,1,0.995,0.62078,0.00996,1,0.995,0.72125,0.84509,0.24945,2.70852,1.01346,0,0.00095959,0.00095959,0.00095959
3,20.3973,0.67996,0.34246,2.08729,0.94417,0,0.92839,1,0.995,0.6965,0.92839,1,0.995,0.6965,0.7395,0.462,1.8981,1.1322,0,0.0012998,0.0012998,0.0012998
4,29.2001,0.82408,0.31648,2.37074,0.94663,0,0.99649,0.5,0.62187,0.48506,0.99649,0.5,0.62187,0.4725,1.01922,0.27283,1.47806,1.12301,0,0.0011719,0.0011719,0.0011719
5,36.8773,0.91299,0.32218,4.99019,0.953,0,1,0.2874,0.55969,0.41653,1,0.2874,0.55969,0.44775,0.88263,0.436,2.15613,1.03887,0,0.00100687,0.00100687,0.00100687
6,43.1676,0.96713,0.32898,2.7361,1.04752,0,1,0.2874,0.55969,0.41653,1,0.2874,0.55969,0.44775,0.88263,0.436,2.15613,1.03887,0,0.000841835,0.000841835,0.000841835
7,49.6806,0.67179,0.25994,1.90373,0.89641,0,0.82114,0.5,0.74625,0.67138,0.82114,0.5,0.74625,0.70888,0.57229,0.12644,1.77263,0.92232,0,0.000676802,0.000676802,0.000676802
8,56.3678,0.62321,0.27119,3.7998,0.88285,0,0.66388,0.77922,0.74625,0.67162,0.66388,0.77922,0.74625,0.65913,0.55329,0.08721,1.98397,0.93762,0,0.000511769,0.000511769,0.000511769
9,62.9339,0.5579,0.35268,3.69197,0.86154,0,0.72947,1,0.74625,0.62175,0.72947,1,0.74625,0.64675,0.48279,0.10697,1.74329,0.89209,0,0.000346736,0.000346736,0.000346736
10,69.5232,0.53349,0.2206,1.7204,0.93236,0,0.72947,1,0.74625,0.62175,0.72947,1,0.74625,0.64675,0.48279,0.10697,1.74329,0.89209,0,0.000181703,0.000181703,0.000181703
