epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17882,0.8651,2.25999,2.90558,1.12984,0,0.01014,1,0.46392,0.4448,0.01014,1,0.46392,0.43311,0.37781,0.39051,2.83022,0.914,0,0.000476286,0.000476286,0.000476286
2,9.56659,0.73829,1.09739,2.4239,1.03306,0,0.00972,1,0.74625,0.54725,0.00972,1,0.74625,0.53475,0.94707,0.25848,2.69445,1.06775,0,0.000929789,0.000929789,0.000929789
3,14.845,0.70162,0.53272,2.0948,0.8975,0,0.00972,1,0.74625,0.54725,0.00972,1,0.74625,0.53475,0.94707,0.25848,2.69445,1.06775,0,0.00127327,0.00127327,0.00127327
4,20.1572,0.96391,0.5678,1.87744,1.13304,0,0.89778,1,0.995,0.45314,0.89778,1,0.995,0.62476,1.67127,0.0222,2.02836,2.73901,0,0.0011719,0.0011719,0.0011719
5,25.2278,1.42379,0.32624,1.57019,1.44214,0,0.89778,1,0.995,0.45314,0.89778,1,0.995,0.62476,1.67127,0.0222,2.02836,2.73901,0,0.00100687,0.00100687,0.00100687
6,30.5728,1.19819,0.35186,1.4906,1.40792,0,0.93592,0.79951,0.995,0.65913,0.93592,0.79951,0.995,0.6784,1.29905,0.23901,1.77943,1.80328,0,0.000841835,0.000841835,0.000841835
7,35.7823,0.88875,0.26791,1.39907,1.18522,0,0.93592,0.79951,0.995,0.65913,0.93592,0.79951,0.995,0.6784,1.29905,0.23901,1.77943,1.80328,0,0.000676802,0.000676802,0.000676802
8,40.0016,0.89261,0.3486,1.48627,1.20287,0,0.93145,1,0.995,0.72171,0.93145,1,0.995,0.79575,0.97337,0.20247,1.41145,1.13447,0,0.000511769,0.000511769,0.000511769
9,43.916,0.7171,0.21368,1.05239,1.05857,0,0.93145,1,0.995,0.72171,0.93145,1,0.995,0.79575,0.97337,0.20247,1.41145,1.13447,0,0.000346736,0.000346736,0.000346736
10,49.323,0.68739,0.21471,1.03358,1.0122,0,0.9466,1,0.995,0.74625,0.9466,1,0.995,0.8705,0.8179,0.12503,1.43916,1.02136,0,0.000181703,0.000181703,0.000181703
