epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80243,0.62136,1.51787,4.69837,0.97091,0,0.01017,1,0.25737,0.244,0.01017,1,0.25737,0.24493,0.34692,0.69688,2.84286,0.96057,0,0.000509361,0.000509361,0.000509361
2,14.8389,0.57417,0.92478,2.73617,0.94716,0,0.00998,1,0.995,0.796,0.00998,1,0.995,0.85813,0.67334,0.82344,2.75689,0.95083,0,0.00104394,0.00104394,0.00104394
3,25.2102,0.83664,1.41765,2.21272,0.96588,0,0.00973,1,0.82917,0.52233,0.00973,1,0.82917,0.66499,0.93239,1.2778,2.7037,1.19135,0,0.00155651,0.00155651,0.00155651
4,34.755,0.80793,0.9921,2.49615,0.99219,0,0.00973,1,0.995,0.59675,0.00973,1,0.995,0.671,1.29596,1.35576,2.62261,1.39452,0,0.00156798,0.00156798,0.00156798
5,44.1087,0.90965,0.88145,1.81776,1.06209,0,0.58172,0.78047,0.74625,0.39796,0.98344,0.5,0.65696,0.39405,1.25608,3.8316,2.75146,1.22117,0,0.00153497,0.00153497,0.00153497
6,53.5682,0.90767,0.75177,1.88832,1.03486,0,0.58172,0.78047,0.74625,0.39796,0.98344,0.5,0.65696,0.39405,1.25608,3.8316,2.75146,1.22117,0,0.00150197,0.00150197,0.00150197
7,62.6105,0.92836,0.67415,2.12646,0.97195,0,0.92273,0.5,0.995,0.62675,0.92273,0.5,0.995,0.83312,1.17722,1.87067,2.02819,1.12522,0,0.00146896,0.00146896,0.00146896
8,72.0958,1.00681,0.60194,1.53102,1.10938,0,0.60375,1,0.995,0.597,0.60375,1,0.995,0.97,1.18574,0.06157,2.50661,1.33904,0,0.00143595,0.00143595,0.00143595
9,81.3844,0.89904,0.5331,1.70009,1.01028,0,0.23862,1,0.41458,0.19091,0.94468,0.5,0.66333,0.31464,1.34747,0.15662,3.06212,1.66208,0,0.00140295,0.00140295,0.00140295
10,90.7365,0.97522,0.5622,1.58793,1.04681,0,0.23862,1,0.41458,0.19091,0.94468,0.5,0.66333,0.31464,1.34747,0.15662,3.06212,1.66208,0,0.00136994,0.00136994,0.00136994
11,100.18,0.83875,0.56802,1.32677,1.01202,0,0.98461,0.5,0.6965,0.32017,0.98461,0.5,0.6965,0.57045,1.28354,0.20779,1.98483,1.50688,0,0.00133693,0.00133693,0.00133693
12,109.82,0.77869,0.43672,1.19441,1.01453,0,0.97088,1,0.995,0.70887,0.97088,1,0.995,0.995,0.90774,0.10006,1.09537,1.15967,0,0.00130393,0.00130393,0.00130393
13,119.613,0.80736,0.3824,1.29998,1.05765,0,0.9504,1,0.995,0.56383,0.9504,1,0.995,0.995,1.21251,0.07878,1.67598,1.19601,0,0.00127092,0.00127092,0.00127092
14,129.242,0.89353,0.44664,1.53974,1.05109,0,0.9504,1,0.995,0.56383,0.9504,1,0.995,0.995,1.21251,0.07878,1.67598,1.19601,0,0.00123791,0.00123791,0.00123791
15,138.056,0.70321,0.37068,1.13253,0.98343,0,0.74106,1,0.995,0.597,0.74106,1,0.995,0.94525,1.02572,0.07384,1.70788,1.09417,0,0.00120491,0.00120491,0.00120491
